datetime,site_id,site_name,lat,lon
2018-05-10 19:57:05,1384,Azure Place,50.658429,-120.35207
2018-05-10 19:57:35,1385,Azure Place B,50.658429,-120.35207
2018-05-10 19:57:39,5622,Azure1,48.947505,-122.147093
2018-05-10 19:56:41,5623,Azure1 B,48.947505,-122.147093
2018-05-10 19:57:43,6268,B. Everett Jordan Lake Visitor Assistance Center,35.65448,-79.070324
2018-05-10 19:56:53,6269,B. Everett Jordan Lake Visitor Assistance Center B,35.65448,-79.070324
2018-05-10 19:57:23,3939,Baby MacBean,38.074533,-122.173721
2018-05-10 19:57:53,3940,Baby MacBean B,38.074533,-122.173721
2018-05-10 19:57:58,4581,Back Building,29.650149,-82.493408
2018-05-10 19:57:04,4582,Back Building B,29.650149,-82.493408
2018-05-10 19:57:02,8984,Back deck,41.469986,-74.364682
2018-05-10 19:57:32,8985,Back deck B,41.469986,-74.364682
2018-05-10 19:56:44,6580,back patio,38.22795,-122.621527
2018-05-10 19:57:10,6581,back patio B,38.22795,-122.621527
2018-05-10 19:56:55,7016,Back porch,34.173877,-118.402226
2018-05-10 19:57:23,7017,Back porch B,34.173877,-118.402226
2018-05-10 19:57:06,4123,"Bainsville, Ontario, Canada",45.180277,-74.411746
2018-05-10 19:57:57,3953,"Bainsville, Ontario, CANADA",45.180277,-74.411746
2018-05-10 19:57:29,4124,"Bainsville, Ontario, Canada B",45.180277,-74.411746
2018-05-10 19:57:06,3954,"Bainsville, Ontario, CANADA B",45.180277,-74.411746
2018-05-10 19:56:42,6128,"Baiting Hollow, NY",40.974682,-72.714806
2018-05-10 19:57:11,6129,"Baiting Hollow, NY B",40.974682,-72.714806
2018-05-10 19:56:50,2920,Balboa,33.605701,-117.895587
2018-05-10 19:57:20,2921,Balboa B,33.605701,-117.895587
2018-05-10 19:57:43,2069,Ballard,47.666977,-122.393359
2018-05-10 19:56:53,2070,Ballard B,47.666977,-122.393359
2018-05-10 19:57:17,10216,Bartels,42.753535,-87.894546
2018-05-10 19:57:39,10217,Bartels B,42.753535,-87.894546
2018-05-10 19:56:49,3613,Barton,39.460742,-84.306071
2018-05-10 19:57:19,3614,Barton B,39.460742,-84.306071
2018-05-10 19:56:51,4623,"Bateau Channel, Thousand Islands, Canada",44.289953,-76.315129
2018-05-10 19:57:09,4624,"Bateau Channel, Thousand Islands, Canada B",44.289953,-76.315129
2018-05-10 19:57:25,1380,Battle Street West,50.675892,-120.357322
2018-05-10 19:57:55,1381,Battle Street West B,50.675892,-120.357322
2018-05-10 19:56:59,2243,"Battlecreek Golf Course, Broken Arrow, OK",36.087489,-95.808622
2018-05-10 19:57:29,2244,"Battlecreek Golf Course, Broken Arrow, OK B",36.087489,-95.808622
2018-05-10 19:57:53,3298,Bay Forest,29.583349,-95.120087
2018-05-10 19:57:04,3299,Bay Forest B,29.583349,-95.120087
2018-05-10 19:57:31,6120,Bay Hill Estates,26.791558,-80.227567
2018-05-10 19:56:41,6121,Bay Hill Estates B,26.791558,-80.227567
2018-05-10 19:56:50,4896,Bayview Avenue,37.906037,-122.544976
2018-05-10 19:57:20,4897,Bayview Avenue B,37.906037,-122.544976
2018-05-10 19:57:26,6092,Baywood Knolls,37.548289,-122.335806
2018-05-10 19:57:57,6093,Baywood Knolls B,37.548289,-122.335806
2018-05-10 19:57:59,1646,Bazilescu Park,44.488643,26.034131
2018-05-10 19:57:10,1647,Bazilescu Park B,44.488643,26.034131
2018-05-10 19:56:45,4486,Beach Arlington/knjshipb2,39.643939,-74.179474
2018-05-10 19:57:15,4487,Beach Arlington/knjshipb2 B,39.643939,-74.179474
2018-05-10 19:57:55,5922,Beaconsfield,51.61882,-0.645327
2018-05-10 19:56:57,5923,Beaconsfield B,51.61882,-0.645327
2018-05-10 19:57:15,2530,Bear River Winery,39.023,-121.031
2018-05-10 19:57:45,2531,Bear River Winery B,39.023,-121.031
2018-05-10 19:57:09,976,Beaumont Avenue,48.815238,-123.610254
2018-05-10 19:57:40,977,Beaumont Avenue B,48.815238,-123.610254
